snapshot_date,pool,cycle_phase,rank40_points,rank40_global_elo,median_top40_global_elo,ranked_athletes,events_365
2019-06-07,Boulder_Men,Build phase,1046.66,1857.0628740520956,2013.247211412214,326,9
2019-06-07,Boulder_Women,Build phase,1028.32,2064.2556874603815,1991.5397813123573,274,9
2019-08-11,Boulder_Men,Build phase,1026.66,1839.8739625595695,2012.2209365156139,325,9
2019-08-11,Boulder_Women,Build phase,1021.5699999999999,1912.5422821744405,1984.5379404259993,273,9
2021-04-16,Boulder_Men,Olympic year,16.0,1897.4523395283993,1991.3978520068563,101,1
2021-04-16,Boulder_Women,Olympic year,16.0,1773.8054126029415,1988.368685169843,70,1
2021-05-21,Boulder_Men,Olympic year,39.5,1792.4479522307565,1996.3855268785105,118,2
2021-05-21,Boulder_Women,Olympic year,68.0,1951.4689696954497,1985.4190465205397,94,2
2021-05-28,Boulder_Men,Olympic year,116.0,1918.8615146946286,1999.080506672536,125,3
2021-05-28,Boulder_Women,Olympic year,154.5,1737.3210875398834,1984.8417373666884,97,3
2021-06-23,Boulder_Men,Olympic year,157.5,1937.9593255437949,2006.9240093887124,162,4
2021-06-23,Boulder_Women,Olympic year,170.5,1937.8410874401466,1988.9835204276706,122,4
