model,evaluation_domain,evaluation_window,competitions,athlete_starts,spearman,winner_logloss,pairwise_brier,pairwise_logloss,top_24_brier,top_16_brier,top_8_brier,top_3_brier,pairwise_brier_s250,pairwise_logloss_s250,pairwise_brier_s300,pairwise_logloss_s300,pairwise_brier_s350,pairwise_logloss_s350,pairwise_brier_s450,pairwise_logloss_s450,pairwise_brier_s500,pairwise_logloss_s500,pairwise_brier_s600,pairwise_logloss_s600
hier_source_balanced_anchored_cap200_e4_sd100,CEC national,2025+ locked evaluation,14,719,0.6161121243545148,3.3962775032663948,0.19626586376117627,0.5824020984606973,0.1997110715172656,0.19459535377065215,0.16941656361564333,0.12636949800618397,0.18455294775952097,0.5519066755589889,0.18848016205165544,0.5627485253697225,0.19247926792455522,0.5730830726093963,0.19974158336449507,0.5906482560837626,0.20288831126263474,0.5979074542355208,0.20826904746050107,0.6099532294278449
hier_source_balanced_anchored_cap200_e4_sd100,CEC other,2022-2024 tuning,6,306,0.32183840312351125,3.3310094545635507,0.2277587583068796,0.6487755740685038,0.23319489462365942,0.22099034242515594,0.18723768349347128,0.13543150221298092,0.23183826985925196,0.658964479206801,0.22911439368816341,0.6516611450301563,0.22799982441760602,0.6490954629622682,0.22799372749441685,0.6495478867127628,0.22848403534778253,0.6508434373643035,0.2297830808587683,0.6539710399936658
hier_source_balanced_anchored_cap200_e4_sd100,CEC other,2025+ locked evaluation,4,231,0.5826616652893672,3.6337781533178326,0.19335339251893716,0.5809206414105749,0.19909822771336386,0.1871100259393088,0.15591277295682054,0.11984366721243421,0.1894582807348778,0.5701100491601365,0.18978111939762704,0.5709360926712823,0.19128767329187116,0.5752959050916318,0.1956387967668016,0.5868286496012385,0.19796103765215958,0.5925897870547436,0.2023797293461961,0.6030675695595266
hier_source_balanced_anchored_cap200_e4_sd100,CEC provincial / local,2022-2024 tuning,124,2868,0.4623152495437183,2.8306285690300346,0.2303874601479672,0.6581242016056481,0.09173158515153046,0.1694497847548984,0.21655783602621953,0.20124646988024752,0.22735529129850734,0.651841826600289,0.22816684978131177,0.6534047560346233,0.2292556641798746,0.6557094800165026,0.23147063846960128,0.6604243576517571,0.23247256615541745,0.6625375198110817,0.23421252130934334,0.6661732091028989
hier_source_balanced_anchored_cap200_e4_sd100,CEC provincial / local,2025+ locked evaluation,233,5930,0.5770428070546502,2.783673397588635,0.2132968125834975,0.6222787701142465,0.10320383931862662,0.17033856539345382,0.20686213162263067,0.1816780093118003,0.20422515389730228,0.6002823615025685,0.20743234928362794,0.6084139038123829,0.2105038905873617,0.6158043787698438,0.2157867451264034,0.627895398495994,0.2179918413972403,0.6327684535209906,0.22167416790854774,0.6407322190653921
hier_source_balanced_anchored_cap200_e4_sd100,Open WC+,2022-2024 tuning,69,2883,0.7384025040035602,2.9808569963956817,0.15435972582270222,0.47928674018522466,0.15290725353672624,0.1610583467833468,0.13781256356110266,0.09069909306256937,0.14896940107462164,0.45775933029872135,0.14961460955911488,0.46147090859954326,0.15160527005845592,0.4695397557925035,0.1575114550210661,0.48945072935875705,0.16083085287306692,0.4994286353176235,0.16745975877351835,0.517869096699526
hier_source_balanced_anchored_cap200_e4_sd100,Open WC+,2025+ locked evaluation,45,1831,0.7754669657318786,2.850465514001278,0.148080440323097,0.46629647415651987,0.15637664765111683,0.15728839732958175,0.12776513068938986,0.08629709525565592,0.1399882054811338,0.43639508974011026,0.14170383198839887,0.44380433846289263,0.14458501857062062,0.4545413123077464,0.1518513370108041,0.4780209149388537,0.15569148375793188,0.48924236387673725,0.16313843914313877,0.5095317285529356
hier_source_balanced_anchored_cap200_e4_sd100,Other,2022-2024 tuning,736,23350,0.5546693812293878,2.831712937080041,0.20716666926556257,0.611417045482173,0.11323913249248783,0.15922593099007004,0.186925675652564,0.16193397011361146,0.2026159913695477,0.598501677491118,0.20361025818783982,0.6016606539176249,0.2052659211182729,0.6063698149042688,0.20910818560440947,0.6163231097360365,0.21099169276573893,0.6209072955788069,0.21443260833637948,0.6289509491302464
hier_source_balanced_anchored_cap200_e4_sd100,Other,2025+ locked evaluation,1922,47515,0.6696759866746187,2.7685429994768533,0.21349097633938152,0.6252107824163351,0.08053326351674465,0.1386147486337165,0.2032493085596474,0.1937481309828881,0.20387313198384982,0.6027761131914214,0.20742742793353613,0.6113001280718733,0.21064936686134075,0.6187798645059678,0.2159768716386297,0.6307265946947674,0.21815105282874675,0.6354765210995416,0.22174011373965735,0.6431852066670426
hier_source_balanced_anchored_cap400_e4_sd100,CEC national,2022-2024 tuning,24,1306,0.42455240113507603,3.634378994866139,0.22596882870067928,0.6470274568408102,0.21361812733860774,0.2138132661607726,0.18020408386683776,0.13261718757392996,0.2292602678712543,0.6603645761149738,0.22701842362737623,0.6515381055947873,0.226117779060128,0.6479858898825216,0.22624248390750953,0.6473888492828047,0.2267500111840244,0.6484242920891387,0.22806964600777158,0.6513027638632832
